pop_cat,offer_cat,mode,time,Akaki Kality,Nifas Silk Lafto,Kolfe Keraniyo,Bole,Lideta,Kirkos,Yeka,Addis Ketema,Arada,Gulele,Lemi Kura
women_rep,amenity_restaurant,drive,900s,61358.82850000001,138768.709895,160730.139096,67134.228215,106851.72328199999,119410.5297,96468.410598,177604.126747,112794.083905,148445.609333,127089.515845
elderly,amenity_restaurant,drive,900s,8739.781156000001,16346.260273,19033.331349,7455.4368970000005,18662.041942,20942.416323999994,14203.363771000002,29957.418231,20206.966228999998,24745.790924,15806.635783000002
total,shop_wine,drive,300s,,,,1564.9589450000003,,24256.618607999997,,,,,
men,shop_wine,drive,300s,,,,735.517255,,11349.913146,,,,,
women,shop_wine,drive,300s,,,,829.4416899999999,,12906.705462,,,,,
youth,shop_wine,drive,300s,,,,459.583773,,7061.155704,,,,,
children_u5,shop_wine,drive,300s,,,,123.10697299999998,,1380.381438,,,,,
women_rep,shop_wine,drive,300s,,,,566.8079230000001,,8758.176702,,,,,
elderly,shop_wine,drive,300s,,,,62.933673,,1520.5330709999998,,,,,
total,shop_wine,drive,600s,,,,28427.93191,,121258.81665000001,38.800635,,,,
men,shop_wine,drive,600s,,,,13360.88369,,56733.303685000006,18.235965,,,,
women,shop_wine,drive,600s,,,,15067.048220000002,,64525.512965,20.56467,,,,
youth,shop_wine,drive,600s,,,,8348.472174,,35292.04977,11.394639,,,,
children_u5,shop_wine,drive,600s,,,,2236.273774,,6851.405871999999,3.0522389999999997,,,,
women_rep,shop_wine,drive,600s,,,,10296.229874,,43779.188548000006,14.053089,,,,
elderly,shop_wine,drive,600s,,,,1143.208374,,7652.361234999999,1.5603390000000001,,,,
total,shop_wine,drive,900s,,7894.813339,,56544.721896,206.033545,250250.75815499996,10274.679529000001,,166.172815,,
men,shop_wine,drive,900s,,3718.0347210000004,,26575.764553000005,96.388765,117080.511206,4793.123378,,77.77485,,
women,shop_wine,drive,900s,,4176.778618,,29968.957343,109.64478,133170.246949,5481.556151000001,,88.397965,,
youth,shop_wine,drive,900s,,2244.773895,,16603.425618,59.956604999999996,72821.807179,2879.343909,,48.398758,,
children_u5,shop_wine,drive,900s,,635.3912029999999,,4448.600793,11.553615,14109.293477000001,760.350285,,9.516149,,
women_rep,shop_wine,drive,900s,,2778.714141,,20477.411383000002,74.38232500000001,90342.18408999998,3658.532539,,59.71045600000001,,
elderly,shop_wine,drive,900s,,329.632915,,2274.1475250000003,13.092109999999998,15829.527724,537.409915,,10.399162,,
total,healthy_offers,drive,300s,14741.299210000001,81575.585877,45845.81157500001,110698.211655,85653.33422899999,161154.70604099997,122154.68418700002,126459.898505,107502.864743,78804.48977399999,69322.521979
men,healthy_offers,drive,300s,7207.901989999999,38451.342174,22190.486927,52027.208145,40785.251931,75395.746667,56966.519223999996,61602.406907000004,50405.711311,38113.34413,32532.455853
women,healthy_offers,drive,300s,7533.397220000001,43124.24370300001,23655.324647999998,58671.003509999995,44868.082297999994,85758.959374,65188.164962999996,64857.492708,57097.153437,40691.145644000004,36790.066126
youth,healthy_offers,drive,300s,4069.732098,23149.066430999996,12804.168050999999,32508.905066999996,25091.910077,46890.78358499999,34145.319383999995,38722.33098599999,31725.497382000005,22553.287106,20164.749519
children_u5,healthy_offers,drive,300s,1188.025858,6636.041848000001,4251.6876409999995,8708.037867,5174.2583030000005,9088.970977,9054.685233,8010.471381000001,5795.509026000001,5842.676466,5411.556174999999
women_rep,healthy_offers,drive,300s,4808.215838,28626.380556000004,15128.015927,40093.462917000004,29528.461398999996,58176.284866999995,43426.58865399999,42202.711632000006,38511.09426,26627.250190000002,25019.692768999997
elderly,healthy_offers,drive,300s,681.6829380000001,3359.1559150000003,1597.582833,4451.647167,5259.983074,10193.087464,6429.256898,7226.865328,6900.262378999999,4148.021982,2937.161075
total,healthy_offers,drive,600s,54425.555640000006,205058.112549,196084.90757799998,155640.563805,268159.197351,310457.497338,209775.53118400002,324984.795944,313548.66709299997,280270.515494,174806.65750899998
men,healthy_offers,drive,600s,26621.403749999998,96665.13905099999,94812.66377299998,73150.69832,127678.13191000001,145247.59888700003,97811.70398399999,158520.366846,147035.134972,135407.59341300002,81920.432973
women,healthy_offers,drive,600s,27804.151890000005,108392.973498,101272.243805,82489.86548499999,140481.065479,165209.898451,111963.82720000001,166464.43230400002,166513.532128,144862.922102,92886.22453600001
youth,healthy_offers,drive,600s,15016.085990999998,58183.794246,54901.089974,45706.29050999999,78490.780117,90341.014186,58537.02673199999,100409.725525,92506.77564099999,80648.25875000001,50391.048081
children_u5,healthy_offers,drive,600s,4387.405526000001,16643.409881,17859.370655000002,12243.511629999997,16440.227067,17489.683947999998,15658.061891,19835.654348999997,16925.1051,19726.045461,13547.424336999999
women_rep,healthy_offers,drive,600s,17733.384206000002,71955.73605100001,64880.491245000005,56369.159190000006,92493.19585,112076.43245499999,74550.674332,108446.74747699998,112308.05091699999,95240.14341400002,62882.49643100001
elderly,healthy_offers,drive,600s,2519.8887260000006,8477.859005,7094.765647000002,6259.2793900000015,16231.352584,19651.534277999996,10989.181863,19109.608175999998,20119.539155,15681.343532999997,7759.901537
total,healthy_offers,drive,900s,101132.40691500001,332383.3721489999,388025.60266100004,184854.20314699996,308918.64483799995,330772.40487499995,256540.01355600002,503584.674249,314904.803056,405700.73078000004,270827.335668
men,healthy_offers,drive,900s,49478.927594,156656.786469,187210.96003699998,86881.46098199999,147061.29646399998,154751.531116,119610.234998,245609.10888100002,147670.976983,196039.485875,126807.323751
women,healthy_offers,drive,900s,51653.479321,175726.58568,200814.642641,97972.74216500002,161857.34841200002,176020.873759,136929.77855800002,257975.57011900004,167233.82608,209661.24492900004,144020.01191700003
youth,healthy_offers,drive,900s,27892.00002,94327.71760199998,109496.68391600001,54281.527011,90378.836141,96252.735439,71552.04105599997,154851.06258999996,92907.407719,116802.131244,77625.749988
children_u5,healthy_offers,drive,900s,8153.711916,26965.022899000003,33388.352629,14542.548679999996,19008.408524,18628.870387,19181.883703,31640.370043,16997.541009,28332.003549,20893.046339999994
